Date,Open,High,Low,Close,Adj Close,Volume
2015-08-04,998.000000,1000.099976,975.000000,992.849976,967.557800,893009
2015-08-05,996.700012,1038.000000,995.099976,1032.000000,1005.710510,777463
2015-08-06,1035.500000,1047.000000,1022.450012,1044.550049,1017.940735,606914
2015-08-07,1045.199951,1049.699951,994.599976,1008.450012,982.760437,1004507
2015-08-10,1013.500000,1063.900024,1013.049988,1052.449951,1025.639648,893685
2015-08-11,1058.300049,1065.000000,1046.400024,1059.849976,1032.851196,555794
2015-08-12,1043.250000,1064.849976,1027.000000,1034.300049,1007.952026,483142
2015-08-13,1042.000000,1065.949951,1027.500000,1059.349976,1032.363892,858085
2015-08-14,1090.000000,1184.400024,1090.000000,1134.349976,1105.453125,3793338
2015-08-17,1137.900024,1140.000000,1118.449951,1129.250000,1100.483154,1752428
2015-08-18,1129.750000,1167.400024,1119.000000,1159.400024,1129.864990,1409614
2015-08-19,1171.000000,1227.699951,1162.849976,1200.099976,1169.528320,2088405
2015-08-20,1204.000000,1242.550049,1200.099976,1221.349976,1190.236938,2459542
2015-08-21,1213.500000,1262.900024,1172.949951,1226.800049,1195.547974,2010452
2015-08-24,1158.900024,1209.000000,1109.000000,1124.349976,1095.707764,2553120
2015-08-25,1167.000000,1234.900024,1074.449951,1187.449951,1157.200562,2426117
2015-08-26,1187.000000,1205.199951,1156.400024,1197.150024,1166.653442,1854894
2015-08-27,1224.000000,1224.500000,1178.500000,1194.500000,1164.070923,2161962
2015-08-28,1205.000000,1210.000000,1158.250000,1174.750000,1144.823975,2748772
2015-08-31,1182.250000,1204.449951,1125.250000,1154.800049,1125.382202,14688709
2015-09-01,1118.000000,1157.800049,1105.650024,1124.500000,1095.854126,1614588
2015-09-02,1125.650024,1133.599976,1072.099976,1079.550049,1052.049316,1542727
2015-09-03,1090.000000,1095.550049,1041.000000,1062.099976,1035.043701,1278237
2015-09-04,1085.000000,1088.449951,998.650024,1026.300049,1000.155762,2101237
2015-09-07,1035.000000,1050.000000,995.000000,1000.400024,974.915527,761403
2015-09-08,1001.000000,1014.450012,970.099976,1006.000000,980.372803,1045727
2015-09-09,1027.400024,1045.849976,1006.049988,1017.349976,991.433594,659716
2015-09-10,995.000000,1014.000000,975.000000,1000.299988,976.738159,706894
2015-09-11,1008.000000,1018.549988,993.099976,1002.650024,979.032837,567376
